"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"NEC",2.6493864800951e-36,2.47276071475541e-35,7.0157321709457e-321,8.83128826698362e-37,8.83128826698362e-36,9.42004081811589e-36,1.17750510226448e-36,2.35501020452897e-36,5.88752551132243e-37,5.88752551132241e-37,2.35501020452897e-36,2.9437627556612e-36,1.00676686243613e-34,3.97407972014263e-36
"DRW",4.27822031045e-166,3.99300562308664e-165,5.70107381379025e-244,1.42607343681666e-166,1.42607343681666e-165,1.52114499927111e-165,1.90143124908887e-166,3.80286249817776e-166,9.50715624544442e-167,9.50715624544438e-167,3.80286249817776e-166,4.75357812272218e-166,1.62572371797099e-164,6.41733046567496e-166
"TOH",4.33550906949559e-48,4.33550906948572e-48,2.89033937969814e-49,2.31227150371226e-48,2.023237565759e-48,6.0697126972703e-48,9.63446459892677e-50,8.67101813895544e-49,1.34882504383232e-48,1.05979110587345e-48,6.74412521923534e-49,9.63446459898933e-49,4.74979104721878e-47,9.39360298385751e-49
"ART",5.11459923603427e-51,4.77362595363199e-51,3.40973282402285e-52,1.71409651301957e-192,1.13657760800761e-51,1.0001882950467e-50,2.27315521601523e-51,2.27315521601523e-52,9.99889632594751e-193,7.85627568467304e-193,6.8194656480457e-52,1.50028244257005e-50,1.67531539420322e-49,1.70486641201142e-52
"JND",1.93728909819867e-87,3.22881500784136e-87,6.45762985308471e-88,2.17842784199285e-184,1.89887860315339e-113,4.30508673809607e-88,3.08258730855943e-94,8.61017306969708e-88,1.27074957449583e-184,9.9844609424672e-185,1.35498343233382e-95,6.09742544550216e-95,2.58305245274013e-87,2.28653454206331e-95
"MSP",8.17100704471586e-23,7.6262732417348e-23,5.44733802981057e-24,3.42667542504155e-237,1.81577934327019e-23,1.59788582207777e-22,3.63155868654038e-23,3.63155868654038e-24,1.9988939979409e-237,1.57055956981071e-237,1.08946760596211e-23,2.39682873311665e-22,2.67645875198026e-21,2.72366901490529e-24
"RAB",1.32962754289014e-169,3.60898904498751e-169,1.13968075104869e-169,2.46930829393882e-169,2.84920187762172e-169,5.57177256068247e-169,2.5326238912193e-170,7.59787167365792e-170,0,2.89259336985673e-191,1.15703734794269e-190,2.60333403287105e-190,1.18716744900905e-169,1.23465414696941e-169
"SCU",1.24649309672164e-51,1.16339355694019e-50,0,4.1549769890721e-52,4.1549769890721e-51,4.43197545501025e-51,5.53996931876278e-52,1.10799386375256e-51,2.76998465938141e-52,2.7699846593814e-52,1.10799386375256e-51,1.3849923296907e-51,4.73667376754219e-50,1.86973964508244e-51
"AFL",9.30333421203904e-48,9.30333421201786e-48,6.20222280809987e-49,4.96177824638065e-48,4.34155596560618e-48,1.30246678968042e-47,2.06740760268557e-49,1.86066684240014e-48,2.89437064372241e-48,2.27414836293591e-48,1.44718532187703e-48,2.067407602699e-48,1.0192319481128e-46,2.01572241259782e-48
"HEM",2.00584995867102e-36,2.00584995866645e-36,1.3372333057966e-37,1.06978664461588e-36,9.3606331404388e-37,2.80818994212854e-36,4.45744435262432e-38,4.0116999173255e-37,6.24042209359342e-37,4.90318878784747e-37,3.12021104683082e-37,4.45744435265326e-37,2.19752006581968e-35,4.34600824376426e-37
"DRM",2.04182170070065e-54,5.54208747333033e-54,1.75013288631484e-54,3.79195458701549e-54,4.37533221578711e-54,8.55620522198367e-54,3.88918419181075e-55,1.16675525754323e-54,3.95252516672997e-322,5.69033202529584e-79,2.27613281011834e-78,5.12129882276625e-78,1.82305508991129e-54,1.89597729350775e-54
"BAY",6.97764264506893e-31,1.89393157509014e-30,5.98083655291623e-31,1.29584791979852e-30,1.49520913822906e-30,2.92396453698126e-30,1.32907478953694e-31,3.98722436861082e-31,0,1.94459209590538e-55,7.77836838362153e-55,1.75013288631484e-54,6.2300380759544e-31,6.47923959899258e-31
