"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"NEC",0.667465610286579,0.667509484006963,0.640324639090738,0.667443960959451,0.667489283043779,0.667490550458432,0.667449634497321,0.667463291450716,0.66743595917862,0.66743595917862,0.667463291450716,0.667467684107999,0.667536965628437,0.667473588779469,0.667467684107999
"DRW",-2.3554571364831,-2.3555300863414,-2.37516750496326,-2.35565520244422,-2.35566082472186,-2.35548845162177,-2.36673002999737,-2.35562568251794,-2.35558705820019,-2.36668247802641,-2.36665106457368,-2.36658313431814,-2.35551959580849,-2.35560865810527,-2.36673315204213
"TOH",0.381211490965498,0.381211490965498,0.381158147288365,0.381199133429405,0.381196506460707,0.381218099357558,0.381136426580994,0.381179821701351,0.381188525567347,0.381183775728802,0.381174867617407,0.381181897922979,0.381258413524329,0.381181399051995,0.381158147288365
"ART",0.157121595980298,0.157120279390282,0.157069789905811,0.129722393173474,0.157092854973749,0.157134385574878,0.157106110227095,0.157062010431376,0.129699567033397,0.129692332856689,0.157083075237819,0.157142109900383,0.15718795660281,0.157056487195015,0.157075305923804
"JND",0.0675407749025839,0.0675521175744686,0.0675163377192477,0.060739095700896,0.0644041183373753,0.0675073038268686,0.0671869130252252,0.0675227425048634,0.0607156941564057,0.0607052061902276,0.0671147813576385,0.0671495673756847,0.0675471643235971,0.0671268964438932,0.0643763681819402
"MSP",0.817528048376356,0.817526731786341,0.817476242301869,0.790128845569454,0.81749930736981,0.817540837970936,0.817512562623154,0.817468462827434,0.790106019429376,0.790098785252668,0.817489527633878,0.817548562296442,0.817594408998869,0.817462939591074,0.817481758319866
"RAB",-1.96207032091201,-1.96204678558822,-1.96207395772863,-1.96205572336429,-1.96205235093234,-1.96203656621011,-1.96210952496286,-1.96208353378938,-1.98736812210104,-1.96237652578902,-1.96234286951591,-1.96232323337132,-1.96207299206589,-1.96207206612442,-1.96234286951591
"SCU",0.308561098453101,0.308604972173485,0.281420127257261,0.308539449125973,0.308584771210302,0.308586038624955,0.308545122663844,0.308558779617238,0.308531447345143,0.308531447345143,0.308558779617238,0.308563172274522,0.308632453794959,0.308569076945992,0.308563172274522
"AFL",0.388976133098175,0.388976133098175,0.388922789421042,0.388963775562082,0.388961148593385,0.388982741490236,0.388901068713672,0.388944463834029,0.388953167700025,0.388948417861479,0.388939509750085,0.388946540055657,0.389023055657007,0.388946041184673,0.388922789421042
"HEM",0.65436275658523,0.65436275658523,0.654309412908097,0.654350399049137,0.654347772080439,0.65436936497729,0.654287692200726,0.654331087321083,0.654339791187079,0.654335041348533,0.654326133237139,0.654333163542711,0.654409679144061,0.654332664671727,0.654309412908097
"DRM",0.17569110156635,0.175710488879334,0.175688105299561,0.175703125109043,0.175705902522046,0.175718909394427,0.175658823733211,0.175680219951453,0.148419781828397,0.17452826646105,0.17455842724476,0.174576028793362,0.175688898853209,0.175689661220641,0.17455842724476
"BAY",0.726751118097721,0.726770505410705,0.726748121830932,0.726763141640414,0.726765919053417,0.726778925925798,0.726718840264582,0.726740236482823,0.699479798359768,0.725588282992421,0.72561844377613,0.725636045324732,0.72674891538458,0.726749677752011,0.72561844377613
