"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"NEC",7.45035136441698e-18,7.47803164083719e-18,8.41543815678393e-19,1.09629500892175e-17,8.32649566681971e-18,7.4699257225179e-18,7.38858138353768e-18,7.47443683209028e-18,2.00200780181247e-17,1.19629996676248e-17,7.89156375649476e-18,7.87482795788621e-18,7.48670327798159e-18,7.63586444004379e-18,8.56837967028238e-18
"DRW",9.76235072422098e-147,9.75674680388308e-147,9.29745892695526e-147,2.15772864383592e-146,1.10085985672913e-146,9.76424230584081e-147,6.52291860570817e-147,9.75173767693367e-147,4.19728582536652e-146,1.16925299444342e-146,6.60925476091719e-147,6.60804671704734e-147,9.76170056970839e-147,9.8792353826127e-147,7.0454849253673e-147
"TOH",4.4147499999634e-30,4.40467255616588e-30,5.38807710862946e-30,6.5186325111014e-30,4.90830202728097e-30,4.41209919252447e-30,4.35099939447528e-30,4.41394214586754e-30,1.19115232185242e-29,7.11420340620749e-30,4.66537987352519e-30,4.65645358447565e-30,4.41544759419386e-30,4.50193878405084e-30,5.05020798348557e-30
"ART",3.53776566441828e-39,3.52820556878197e-39,4.13601407495059e-39,2.53775414551056e-40,3.91666142651305e-39,3.53796288338995e-39,3.40771995070248e-39,3.50918588413056e-39,5.12661644230006e-40,3.78969617324335e-40,3.62774737622607e-39,3.64080748754887e-39,3.54400619809136e-39,3.57413726759761e-39,3.93341130995425e-39
"JND",2.86615947590055e-43,2.86730902190896e-43,4.09108143339921e-43,1.19633033520668e-43,1.29022997907431e-43,2.84457714287874e-43,2.89412308834601e-43,2.87018184022007e-43,2.31764294391483e-43,1.56877044613771e-43,3.03483185131585e-43,3.03818455784638e-43,2.86252949911184e-43,2.54648071382291e-43,1.8000155073748e-43
"MSP",5.65188137573631e-11,5.63660831030391e-11,6.60763406550755e-11,4.05427796855593e-12,6.25719956361841e-11,5.65219644980812e-11,5.44412229357389e-11,5.60622274731002e-11,8.19020555321576e-12,6.0543617788543e-12,5.79563480922058e-11,5.81649944723005e-11,5.66185115875397e-11,5.70998810357417e-11,6.28395892623448e-11
"RAB",2.3391115572891e-130,2.34285516810174e-130,3.59867936938446e-130,3.9557982718452e-130,2.63236026626951e-130,2.34585321740282e-130,2.7404874364501e-130,2.34732815380285e-130,7.32501533199726e-131,4.28541150097857e-130,2.72409814113723e-130,2.72348568563649e-130,2.33438458059187e-130,2.39078620985168e-130,2.94435374459179e-130
"SCU",3.50526871548127e-33,3.51829183375124e-33,3.95932629955237e-34,5.15788908435243e-33,3.91748030970583e-33,3.51447813148338e-33,3.476206947661e-33,3.51660053490876e-33,9.41911994830037e-33,5.62839608860778e-33,3.71285194467222e-33,3.70497802458151e-33,3.5223716974929e-33,3.5925495896979e-33,4.03128278540684e-33
"AFL",9.47337303506951e-30,9.4517483939608e-30,1.15619829870749e-29,1.39879806232986e-29,1.05324596123464e-29,9.46768481088618e-30,9.33657406185347e-30,9.47163950469791e-30,2.55602928514428e-29,1.52659839662324e-29,1.00111861130474e-29,9.99203167259531e-30,9.47486996476481e-30,9.66046672693005e-30,1.08369679217717e-29
"HEM",2.04251126292759e-18,2.03784887152193e-18,2.49282704116637e-18,3.01588545736926e-18,2.27085614647598e-18,2.04128485054865e-18,2.01301665287515e-18,2.04213750425731e-18,5.51093953964797e-18,3.29142999808757e-18,2.15846671670874e-18,2.15433691413328e-18,2.04283400919242e-18,2.08284969058511e-18,2.33650981063064e-18
"DRM",7.67658026173327e-39,7.67718825775916e-39,9.24902398998454e-39,1.12441973216559e-38,8.55924869112398e-39,7.69258930451347e-39,7.50613350829765e-39,7.69063019776391e-39,1.1918977436951e-39,9.060174532102e-39,5.86715566875075e-39,5.86451313400466e-39,7.64620024986129e-39,7.8557184769562e-39,6.35396816015711e-39
"BAY",2.62336489930457e-15,2.62357267351898e-15,3.16072574777886e-15,3.84254857876341e-15,2.92500460037442e-15,2.62883576777323e-15,2.56511708388181e-15,2.62816627019676e-15,4.07314533003275e-16,3.09618906319141e-15,2.00501912510211e-15,2.00411607548083e-15,2.61298295134492e-15,2.68458290132072e-15,2.17138054632825e-15
