"waic" "delta_waic" "waicH" "dH" "waicE" "dE" "model"
"model10" 584.740025660878 0 585.299047978717 0.559022317839094 585.304023581642 0.563997920764109 "model10"
"model1" 584.92439298904 0.184367328162125 588.140446960663 3.21605397162352 581.279251632516 -3.64514135652428 "model1"
"model3" 611.184186401978 26.4441607411002 613.486801228757 2.30261482677952 606.334378616961 -4.84980778501699 "model3"
"model2" 611.576482789801 26.836457128923 611.518555265695 -0.0579275241058212 611.895602889518 0.319120099716997 "model2"
"model9" 614.574317367567 29.8342917066894 618.355206277166 3.7808889095993 612.452488708317 -2.12182865924979 "model9"
"model4" 614.79633112861 30.0563054677323 614.211930223712 -0.584400904898075 614.411655651649 -0.384675476960524 "model4"
"model8" 639.818988655956 55.0789629950787 631.499188556824 -8.31980009913218 637.224962736321 -2.59402591963499 "model8"
"model5" 640.354087065716 55.6140614048385 640.338264745751 -0.0158223199647409 640.352179712613 -0.00190735310275159 "model5"
"model6" 645.408021069408 60.6679954085301 646.2601581539 0.852137084491915 647.030390584888 1.62236951548005 "model6"
"model7" 663.852216989236 79.1121913283581 650.24820335332 -13.6040136359156 655.165151492128 -8.6870654971076 "model7"
