year,area,local.moths,global.moths,local.cats.last.year,global.cats.last.year,local.cats.next.year,global.cats.next.year,notes
2010,NE,1,14,0.95,0.420833333333333,1.14920634920635,0.824603174603175,global cats averages from local. Global moths summed. Last year means spring before moth counts
2010,Center,2,14,0.633333333333333,0.420833333333333,1.14920634920635,0.824603174603175,
2010,SE,9,14,0.1,0.420833333333333,0.888888888888889,0.824603174603175,
2010,NW,2,14,0,0.420833333333333,0.111111111111111,0.824603174603175,
2011,NE,10,15,1.14920634920635,0.824603174603175,2.68888888888889,2.55555555555556,
2011,Center,2,15,1.14920634920635,0.824603174603175,3.06666666666667,2.55555555555556,
2011,SE,0,15,0.888888888888889,0.824603174603175,3.33333333333333,2.55555555555556,
2011,NW,3,15,0.111111111111111,0.824603174603175,1.13333333333333,2.55555555555556,
2012,NE,0,15,2.68888888888889,2.55555555555556,0.0666666666666667,0.611111111111113,
2012,Center,6,15,3.06666666666667,2.55555555555556,0.088888888888889,0.611111111111113,
2012,SE,0,15,3.33333333333333,2.55555555555556,0.0444444444444443,0.611111111111113,
2012,NW,9,15,1.13333333333333,2.55555555555556,2.24444444444445,0.611111111111113,
2017,NE,0,8,0.0888,0.23845,0.422,0.91075,
2017,Center,,8,0.555,0.23845,1.2,0.91075,
2017,SE,1,8,0.155,0.23845,0.155,0.91075,
2017,NW,7,8,0.155,0.23845,1.866,0.91075,
2018,NE,5,43,0.422,0.91075,2.445,12.29575,
2018,Center,4,43,1.2,0.91075,18.768,12.29575,
2018,SE,0,43,0.155,0.91075,7.97,12.29575,
2018,NW,34,43,1.866,0.91075,20,12.29575,
2019,NE,5,24,2.445,12.29575,2,0.71625,
2019,Center,6,24,18.768,12.29575,0.433,0.71625,
2019,SE,11,24,7.97,12.29575,0.266,0.71625,
2019,NW,2,24,20,12.29575,0.166,0.71625,
2020,NE,,,2,0.71625,,,
2020,Center,,,0.433,0.71625,,,
2020,SE,,,0.266,0.71625,,,
2020,NW,,,0.166,0.71625,,,
