"","X2010","X2011","X2012","X2017","X2018","X2019"
"NEC",2.74451285924777e-301,2.61466769310414e-216,3.13696342638416e-247,2.90518632567127e-217,2.74451285924777e-301,8.7155589770138e-217
"DRW",3.48608581559907e-226,1.51669510333986e-188,2.18220891591104e-148,1.68521678148874e-189,6.97217163119813e-226,1.74576713272884e-147
"TOH",1.76738127639401e-31,1.76738127639401e-31,5.30214382918204e-31,8.00602870027518e-189,3.53476255278802e-31,5.30214382918204e-31
"ART",2.3099266625406e-41,2.30992666253744e-41,2.84538602577885e-52,4.61985332508437e-41,7.16077265385722e-40,4.61985332506856e-41
"JND",8.03593790560432e-45,4.01796895280216e-45,3.61617205752194e-44,2.00898447640108e-44,1.20539068584065e-44,7.71838242005991e-103
"MSP",3.69030419810162e-13,3.69030419810162e-13,5.64888859442138e-97,7.38060839620324e-13,1.1439943014115e-11,7.38060839620324e-13
"RAB",2.69324109704567e-131,9.51254283382159e-156,0,0,2.69324109704567e-131,3.59098812939423e-131
"SCU",4.94107679399969e-313,5.3956761443871e-217,7.70249851536116e-263,5.99519571598566e-218,4.94107679399969e-313,1.7985587147957e-217
"AFL",3.79252780488512e-31,3.79252780488512e-31,1.13775834146554e-30,5.91131139254347e-186,7.58505560977024e-31,1.13775834146554e-30
"HEM",8.17689826819647e-20,8.17689826819647e-20,2.45306948045894e-19,4.23571388837122e-142,1.63537965363929e-19,2.45306948045894e-19
"DRM",1.02254511374712e-39,1.46077873392446e-40,0,0,2.92155746784891e-40,1.46077873392446e-40
"BAY",3.49440619116763e-16,4.99200884452518e-17,0,0,9.98401768905036e-17,4.99200884452518e-17
