"","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021"
"NEC",1.70474809223843,3.76120011569356,0,0.916290731874155,2.77258872223978,2.83321334405622,1.09861228866811,1.6094379124341,0.693147180559948,0.693147180559948,1.6094379124341,1.79175946922805,5.14749447681345,2.04769284336526,1.79175946922805
"DRW",5.70711026474888,3.48124008933569,0,0.916290731874155,0.693147180559948,4.70953020131233,0,1.38629436111989,2.39789527279837,0,0,0,3.61091791264422,1.70474809223843,0
"TOH",3.15700042115011,2.4423470353692,0,0,1.79175946922805,2.484906649788,0,1.38629436111989,0,0,0,0,4.30406509320417,1.55814461804655,0
"ART",3.8607297110406,3.48124008933569,0.916290731874155,0,0,1.94591014905531,4.52178857704904,0,0,0,1.6094379124341,2.94443897916644,5.06259503302697,2.04769284336526,0
"JND",1.70474809223843,2.14006616349627,0.916290731874155,0,0,0.693147180559948,0,1.09861228866811,0,0,0,0,1.94591014905531,0,0
"MSP",3.15700042115011,3.09104245335832,0.916290731874155,0,1.79175946922805,3.80666248977032,2.39789527279837,0.693147180559948,0,0,1.38629436111989,4.20469261939097,6.60394382460047,0.559615787935423,1.09861228866811
"RAB",0,0,0.916290731874155,0,0,2.19722457733622,0,0,0,0,0,2.39789527279837,2.33939906611676,3.15700042115011,0
"SCU",4.3502779363593,3.15700042115011,0,0.916290731874155,3.2188758248682,3.2188758248682,0,1.38629436111989,2.19722457733622,0,1.38629436111989,1.09861228866811,5.03043792139243,0.559615787935423,0
"AFL",4.3502779363593,4.11087386417331,2.67414864942653,1.70474809223843,3.28519846779927,4.17438726989564,1.38629436111989,2.19722457733622,1.38629436111989,2.70805020110221,2.94443897916644,3.80666248977032,5.63325781834076,1.94591014905531,0.693147180559948
"HEM",3.8286413964891,3.8286413964891,1.38629436111989,3.2188758248682,3.09104245335832,4.15888308335967,0.693147180559948,2.30258509299405,2.70805020110221,2.484906649788,2.07944154167984,2.39789527279837,6.20253551718792,2.37490575457367,1.38629436111989
"DRM",0.916290731874155,3.27714473299218,2.94443897916644,3.15700042115011,4.14539973302238,4.24849524204936,0.693147180559948,2.19722457733622,0,0.693147180559948,1.6094379124341,2.30258509299405,3.87120101090789,3.97968165390196,2.56494935746154
"BAY",2.4423470353692,3.38439026334577,2.30258509299405,3.02042488614436,3.15700042115011,3.80666248977032,1.09861228866811,1.94591014905531,0,0,0,0,2.33939906611676,2.37490575457367,0.78845736036427
